Model,Remaining Features,Dropped Feature,R^2 (mean),R^2 (std),MAE (mean),MAE (std),MSE (mean),MSE (std),RMSE (mean),MAPE (mean),Accuracy (%),Training Time (s)
Linear Regression,45,PGV_H,-0.780142067,0.879269926,0.610622891,0.216339828,1.302063627,1.137427428,1.141080027,8.605329807,85.47297297,9.182649612
Ridge Regression,45,PGV_H,0.343846821,0.090219236,0.48463561,0.085988953,0.420598485,0.172065949,0.648535647,7.035578822,87.5,1.387217522
Bayesian Ridge,45,PGV_H,-0.123775572,0.510361679,0.520999052,0.128666951,0.822922604,0.673742826,0.907150817,7.4313014,85.47297297,0.026001215
Lasso Regression,45,PGV_H,0.365337505,0.113733239,0.510834028,0.127053047,0.425940948,0.247172553,0.652641515,7.381963834,87.5,0.025001287
Elastic Net,45,PGV_H,0.387117335,0.104659472,0.488769815,0.109236796,0.405297945,0.218487883,0.636630148,7.067702733,88.51351351,0.025000811
Orthogonal Matching Pursuit,45,PGV_H,0.250569627,0.230400261,0.49750932,0.121960591,0.503063028,0.333971911,0.709269362,7.180607152,86.82432432,0.024429798
k-Nearest Neighbors Regressor,45,PGV_H,0.460098388,0.118806496,0.413107345,0.161262534,0.365138983,0.22195449,0.604267311,6.029869155,90.54054054,0.3170681
Decision Tree Regressor,45,PGV_H,0.022639739,0.392876415,0.42480226,0.134226207,0.586497175,0.229406667,0.765831036,6.139398327,93.24324324,0.165377378
Random Forest Regressor,45,PGV_H,0.584883707,0.125772076,0.367855367,0.094254588,0.260229579,0.111092556,0.510127023,5.388939162,93.24324324,0.711312771
Extra Trees Regressor,45,PGV_H,0.587716807,0.096782969,0.36299548,0.09084591,0.256286113,0.094475357,0.506247087,5.339594058,91.89189189,0.274644375
Gradient Boosting Regressor,45,PGV_H,0.562662732,0.155160193,0.346127169,0.124615544,0.279631025,0.14690968,0.528801499,5.057810531,91.89189189,5.016146421
AdaBoost Regressor,45,PGV_H,0.485712942,0.148666435,0.484911393,0.07065343,0.318162307,0.125561254,0.56405878,7.31164549,92.22972973,0.219741106
XGBoost Regressor,45,PGV_H,0.579246032,0.127350433,0.345669269,0.09361056,0.26370949,0.112804302,0.513526523,5.029446987,92.56756757,1.456899881
LightGBM Regressor,45,PGV_H,0.558834611,0.178736739,0.367263847,0.080608603,0.265772545,0.09592271,0.515531323,5.387312704,93.58108108,1.007611513
Linear Regression,44,PGA_H,-0.676606439,0.768734708,0.607232164,0.210238961,1.199195695,0.96888081,1.09507794,8.564865874,84.7972973,0.02350831
Ridge Regression,44,PGA_H,0.345163095,0.089778553,0.484304274,0.085752986,0.419789763,0.171642375,0.647911848,7.030872111,87.5,0.02699995
Bayesian Ridge,44,PGA_H,-0.112125477,0.501606188,0.518519724,0.125189662,0.81118007,0.654385716,0.900655356,7.398448316,85.47297297,0.024514437
Lasso Regression,44,PGA_H,0.365337686,0.113733175,0.510834061,0.127053033,0.425940867,0.247172594,0.652641454,7.381964342,87.5,0.024093628
Elastic Net,44,PGA_H,0.387852338,0.104097325,0.488472652,0.109127601,0.404878882,0.218309537,0.636300936,7.063420251,88.51351351,0.025018215
Orthogonal Matching Pursuit,44,PGA_H,0.250569627,0.230400261,0.49750932,0.121960591,0.503063028,0.333971911,0.709269362,7.180607152,86.82432432,0.023999453
k-Nearest Neighbors Regressor,44,PGA_H,0.450955724,0.118377149,0.415129944,0.161856463,0.370131073,0.222652814,0.608383985,6.060837623,90.2027027,0.125840664
Decision Tree Regressor,44,PGA_H,0.085473123,0.308807422,0.401355932,0.105152521,0.562711864,0.234952182,0.75014123,5.835076148,93.24324324,0.024502277
Random Forest Regressor,44,PGA_H,0.579539658,0.120908725,0.367241808,0.099650984,0.26639024,0.120992883,0.516130061,5.363299684,92.22972973,0.452297449
Extra Trees Regressor,44,PGA_H,0.586271396,0.103409567,0.361564972,0.083156318,0.255412282,0.090621313,0.505383303,5.318566334,93.58108108,0.231566668
Gradient Boosting Regressor,44,PGA_H,0.573940985,0.149033109,0.339320261,0.120499017,0.272335091,0.143574061,0.521857347,4.941477983,91.89189189,4.738790035
AdaBoost Regressor,44,PGA_H,0.501624822,0.191472729,0.472732566,0.071882182,0.299447166,0.108540525,0.547217659,7.177378623,94.25675676,0.245907307
XGBoost Regressor,44,PGA_H,0.599359059,0.114993403,0.338404479,0.104166208,0.253850033,0.118095191,0.503835324,4.912887434,92.22972973,1.327912092
LightGBM Regressor,44,PGA_H,0.571914654,0.143642719,0.362469663,0.081581125,0.263814392,0.102032414,0.513628652,5.314294357,92.56756757,0.453009367
Linear Regression,43,EPV,-0.649871257,0.81435284,0.600776011,0.214730092,1.18955518,0.986851298,1.090667309,8.476741789,85.13513514,0.024002314
Ridge Regression,43,EPV,0.345886346,0.088865762,0.484170635,0.085976251,0.419422114,0.171535852,0.647628068,7.029046271,87.5,0.024502039
Bayesian Ridge,43,EPV,-0.121933807,0.51755741,0.519546968,0.127228348,0.821498252,0.670120882,0.906365408,7.409549268,85.47297297,0.024000406
Lasso Regression,43,EPV,0.365337686,0.113733175,0.510834061,0.127053033,0.425940867,0.247172594,0.652641454,7.381964342,87.5,0.025000095
Elastic Net,43,EPV,0.387852338,0.104097325,0.488472652,0.109127601,0.404878882,0.218309537,0.636300936,7.063420251,88.51351351,0.025001526
Orthogonal Matching Pursuit,43,EPV,0.250569627,0.230400261,0.49750932,0.121960591,0.503063028,0.333971911,0.709269362,7.180607152,86.82432432,0.013000488
k-Nearest Neighbors Regressor,43,EPV,0.449312736,0.109506834,0.416508475,0.157643068,0.369642938,0.214934565,0.607982679,6.0871139,90.2027027,0.025999308
Decision Tree Regressor,43,EPV,0.067277327,0.286715061,0.424971751,0.114681417,0.566327684,0.197961974,0.752547463,6.178276491,94.25675676,0.025998592
Random Forest Regressor,43,EPV,0.583617041,0.114532012,0.365561582,0.093574594,0.261534605,0.110283244,0.511404541,5.339654387,92.90540541,0.428635597
Extra Trees Regressor,43,EPV,0.603602301,0.089900614,0.350861017,0.07738616,0.244101107,0.078247317,0.494065894,5.162014693,94.59459459,0.209719896
Gradient Boosting Regressor,43,EPV,0.56688362,0.168556839,0.341070684,0.120318109,0.274233053,0.140667289,0.523672658,4.971108263,92.22972973,4.538274765
AdaBoost Regressor,43,EPV,0.495635052,0.162901216,0.466625228,0.076243379,0.310237298,0.123791366,0.556989496,7.044988286,92.56756757,0.225719929
XGBoost Regressor,43,EPV,0.579585922,0.132312532,0.344497868,0.091952524,0.26302562,0.113409935,0.512860235,4.994420402,91.21621622,1.270426035
LightGBM Regressor,43,EPV,0.559042548,0.169352521,0.369349048,0.083325149,0.267207511,0.097859889,0.516921184,5.423251684,92.56756757,0.431167364
Linear Regression,42,sa3.0,-0.966398874,1.143935182,0.61904235,0.201657057,1.37236781,1.056340848,1.171481033,8.722186923,84.45945946,0.025600672
Ridge Regression,42,sa3.0,0.336480518,0.095681301,0.486770034,0.085947684,0.42321379,0.16643705,0.650548838,7.06596017,87.16216216,0.025002241
Bayesian Ridge,42,sa3.0,-0.176310153,0.570149999,0.524299228,0.131114496,0.866800422,0.724720029,0.931021172,7.479440241,86.14864865,0.024000883
Lasso Regression,42,sa3.0,0.360425128,0.125337106,0.514544481,0.129755639,0.429663421,0.254886287,0.655487163,7.431276984,87.16216216,0.023997068
Elastic Net,42,sa3.0,0.377880956,0.110838547,0.492871333,0.113528595,0.411642545,0.224263223,0.641593754,7.122927143,88.17567568,0.012999058
Orthogonal Matching Pursuit,42,sa3.0,0.2029728,0.30164044,0.50611099,0.136795429,0.557305887,0.443658111,0.746529227,7.289703995,86.82432432,0.024999857
k-Nearest Neighbors Regressor,42,sa3.0,0.443721794,0.134610914,0.421853107,0.167272183,0.377066667,0.236629129,0.614057543,6.167417417,90.2027027,0.024996996
Decision Tree Regressor,42,sa3.0,-0.096129089,0.417745346,0.471299435,0.249877598,0.739661017,0.538342653,0.860035474,6.650176963,90.54054054,0.02499938
Random Forest Regressor,42,sa3.0,0.57396634,0.131422428,0.372219774,0.100552931,0.269794531,0.125337466,0.519417492,5.445831993,93.58108108,0.439109564
Extra Trees Regressor,42,sa3.0,0.593486912,0.093968589,0.360586441,0.08295182,0.250576972,0.083749271,0.500576639,5.314222705,93.91891892,0.230536938
Gradient Boosting Regressor,42,sa3.0,0.547205905,0.174236148,0.352657559,0.135970862,0.293635679,0.172433642,0.541881609,5.13548801,91.89189189,4.476291418
AdaBoost Regressor,42,sa3.0,0.51514686,0.150400551,0.457394125,0.076181557,0.297401998,0.114296579,0.54534576,6.87076198,92.22972973,0.329736233
XGBoost Regressor,42,sa3.0,0.575305367,0.121814202,0.345591707,0.111688386,0.271317851,0.134062656,0.520881801,4.988799674,91.89189189,1.25284481
LightGBM Regressor,42,sa3.0,0.539608861,0.167952399,0.38098733,0.080582192,0.276539513,0.090066312,0.525870243,5.604558168,92.22972973,0.123879194
Linear Regression,41,sa2.8,-1.004589795,1.332066889,0.610109762,0.206095708,1.408942807,1.141780919,1.186988967,8.587638921,84.45945946,0.025639296
Ridge Regression,41,sa2.8,0.325226642,0.103079307,0.489228399,0.085652669,0.429223854,0.165873429,0.655151779,7.101744795,86.48648649,0.025474548
Bayesian Ridge,41,sa2.8,-0.145156453,0.529389438,0.513440969,0.108629453,0.821507127,0.628003965,0.906370303,7.351047206,86.82432432,0.027077675
Lasso Regression,41,sa2.8,0.354694378,0.132634275,0.517499319,0.133918084,0.434608473,0.262824915,0.659248416,7.471131215,87.5,0.024999142
Elastic Net,41,sa2.8,0.367951034,0.118159318,0.498690295,0.122997858,0.419732065,0.234679202,0.647867321,7.199045953,86.82432432,0.024474621
Orthogonal Matching Pursuit,41,sa2.8,0.289763347,0.192749125,0.503352528,0.12990094,0.459086195,0.247533665,0.677558997,7.260965577,86.48648649,0.014000654
k-Nearest Neighbors Regressor,41,sa2.8,0.434816276,0.151626484,0.42859887,0.170136942,0.384323164,0.244735785,0.619938032,6.257507508,90.54054054,0.023997307
Decision Tree Regressor,41,sa2.8,-0.052732367,0.450711985,0.481468927,0.248766859,0.716045198,0.539381771,0.846194539,6.884116259,92.22972973,0.024998188
Random Forest Regressor,41,sa2.8,0.544942008,0.137179387,0.388807627,0.10613323,0.287730733,0.132063969,0.536405381,5.694407577,92.56756757,0.44998312
Extra Trees Regressor,41,sa2.8,0.551746313,0.113808211,0.377829379,0.097643096,0.279410531,0.10846287,0.528592973,5.558203293,91.55405405,0.231449842
Gradient Boosting Regressor,41,sa2.8,0.528330571,0.183502982,0.367310126,0.149875598,0.31266657,0.202887253,0.559165959,5.350036097,90.2027027,4.339972258
AdaBoost Regressor,41,sa2.8,0.503380183,0.153412792,0.47799854,0.075144657,0.303746056,0.111516884,0.551131614,7.211305093,92.22972973,0.198095083
XGBoost Regressor,41,sa2.8,0.568637407,0.103510547,0.362602098,0.096619492,0.274327407,0.123063088,0.523762739,5.285651907,92.90540541,1.059790134
LightGBM Regressor,41,sa2.8,0.539538889,0.148109863,0.381853412,0.085590685,0.281687236,0.096845908,0.530742156,5.602393885,92.90540541,0.136546373
Linear Regression,40,I_v_r,-1.452435851,1.689419713,0.641327335,0.222234451,1.76295886,1.502020504,1.32776461,9.038428276,82.77027027,0.02499938
Ridge Regression,40,I_v_r,0.325186898,0.102351207,0.489354594,0.086288324,0.429822748,0.167523244,0.655608685,7.103211296,86.48648649,0.0259974
Bayesian Ridge,40,I_v_r,-0.148556707,0.533904742,0.513817165,0.10969646,0.824205112,0.631287241,0.907857429,7.355234467,86.82432432,0.025998116
Lasso Regression,40,I_v_r,0.354866135,0.132597981,0.517444069,0.133940227,0.434537122,0.262866962,0.659194298,7.470271819,87.5,0.025037527
Elastic Net,40,I_v_r,0.368173225,0.118084462,0.498624766,0.123018369,0.419639765,0.234734509,0.647796083,7.198087354,86.82432432,0.025000334
Orthogonal Matching Pursuit,40,I_v_r,0.304730847,0.180055242,0.496811489,0.132106604,0.452713605,0.249687834,0.672839955,7.16328045,86.14864865,0.025999308
k-Nearest Neighbors Regressor,40,I_v_r,0.426846909,0.154419815,0.431954802,0.173114106,0.390888136,0.252786618,0.625210473,6.306574432,89.86486486,0.025000095
Decision Tree Regressor,40,I_v_r,0.088730669,0.4180031,0.407175141,0.238079096,0.648305085,0.556864142,0.805173947,5.672190047,91.89189189,0.026002169
Random Forest Regressor,40,I_v_r,0.546115123,0.13433495,0.384866102,0.098738908,0.284712356,0.123770542,0.533584441,5.631438358,92.56756757,0.516363144
Extra Trees Regressor,40,I_v_r,0.559231349,0.110202633,0.370522034,0.088752823,0.270590395,0.089740579,0.52018304,5.450001341,92.22972973,0.197387218
Gradient Boosting Regressor,40,I_v_r,0.538373727,0.172818293,0.363575386,0.143896115,0.305740101,0.196243268,0.552937701,5.286834504,90.54054054,4.193798304
AdaBoost Regressor,40,I_v_r,0.512269062,0.184169677,0.460933709,0.061812723,0.287265384,0.085251037,0.53597144,6.971615569,93.91891892,0.208134651
XGBoost Regressor,40,I_v_r,0.558878684,0.121075411,0.359485366,0.11068564,0.283592837,0.140664621,0.532534353,5.211279353,91.55405405,1.060140371
LightGBM Regressor,40,I_v_r,0.505649353,0.211332684,0.388728905,0.099116502,0.296339323,0.109625148,0.544370575,5.699403842,91.89189189,0.11551404
Linear Regression,39,sa1.8,-1.480726622,1.66656075,0.639708391,0.215238135,1.759987754,1.450079465,1.326645301,9.013685629,82.77027027,0.022556305
Ridge Regression,39,sa1.8,0.335072509,0.092979264,0.488379058,0.086829787,0.423699789,0.165817879,0.65092226,7.091858448,86.48648649,0.024998426
Bayesian Ridge,39,sa1.8,-0.14087779,0.526164131,0.513525663,0.110763779,0.821476202,0.635218697,0.906353243,7.352276235,86.82432432,0.024999142
Lasso Regression,39,sa1.8,0.354866133,0.132597983,0.517444069,0.133940228,0.434537124,0.262866965,0.659194299,7.470271826,87.5,0.012999296
Elastic Net,39,sa1.8,0.368173299,0.118084389,0.498624719,0.123018292,0.419639687,0.234734372,0.647796023,7.198086759,86.82432432,0.044000387
Orthogonal Matching Pursuit,39,sa1.8,0.312719089,0.160517061,0.505666157,0.131003149,0.454867075,0.263551381,0.674438341,7.274163619,86.14864865,0.025999784
k-Nearest Neighbors Regressor,39,sa1.8,0.418626252,0.156807172,0.434655367,0.173182396,0.395464407,0.255029531,0.628859608,6.348804161,89.18918919,0.025000334
Decision Tree Regressor,39,sa1.8,-0.028400086,0.458113853,0.447740113,0.238953665,0.70920904,0.550689637,0.842145498,6.311668812,90.87837838,0.030510187
Random Forest Regressor,39,sa1.8,0.554765305,0.117784586,0.384543503,0.112878732,0.285142785,0.138710011,0.533987627,5.611700987,93.24324324,0.579931021
Extra Trees Regressor,39,sa1.8,0.558357657,0.115323348,0.377439548,0.100782668,0.275907842,0.111777448,0.525269304,5.548027939,92.56756757,0.252656221
Gradient Boosting Regressor,39,sa1.8,0.56826487,0.136421397,0.357770566,0.144092585,0.289179145,0.185284424,0.537753796,5.227339165,91.55405405,4.470026016
AdaBoost Regressor,39,sa1.8,0.480620783,0.163111013,0.472796139,0.055128697,0.310286173,0.08839514,0.557033368,7.137303627,92.56756757,0.230692863
XGBoost Regressor,39,sa1.8,0.549928308,0.127927763,0.36685362,0.106198224,0.284793862,0.129615449,0.533660812,5.353808634,93.24324324,1.014217615
LightGBM Regressor,39,sa1.8,0.535137953,0.158380037,0.379862018,0.084324237,0.282145407,0.09545097,0.531173613,5.590096766,91.89189189,0.114999771
Linear Regression,38,sa1.6,-1.351744,1.474401051,0.632532758,0.218500239,1.688065148,1.397545244,1.299255613,8.900834484,82.77027027,0.025998354
Ridge Regression,38,sa1.6,0.345218693,0.086876873,0.487543328,0.088367333,0.417471959,0.165365341,0.6461207,7.082021929,86.48648649,0.026000261
Bayesian Ridge,38,sa1.6,-0.12705646,0.505888585,0.512635708,0.112917648,0.814875434,0.637648344,0.902704511,7.337078929,86.48648649,0.025000572
Lasso Regression,38,sa1.6,0.354866133,0.132597984,0.51744407,0.133940228,0.434537124,0.262866965,0.659194299,7.470271828,87.5,0.025001049
Elastic Net,38,sa1.6,0.368173303,0.118084384,0.498624716,0.123018287,0.419639683,0.234734363,0.64779602,7.198086727,86.82432432,0.024002314
Orthogonal Matching Pursuit,38,sa1.6,0.312719089,0.160517061,0.505666157,0.131003149,0.454867075,0.263551381,0.674438341,7.274163619,86.14864865,0.025002003
k-Nearest Neighbors Regressor,38,sa1.6,0.413775104,0.155446276,0.436655367,0.177003457,0.399642938,0.257268632,0.632173187,6.375616688,89.52702703,0.025995493
Decision Tree Regressor,38,sa1.6,0.074798179,0.441718389,0.403841808,0.233882038,0.651751412,0.550634999,0.807311224,5.694980695,91.55405405,0.028995275
Random Forest Regressor,38,sa1.6,0.579766569,0.097303565,0.376299718,0.100700503,0.268789657,0.1230203,0.518449281,5.500288235,93.58108108,0.469945669
Extra Trees Regressor,38,sa1.6,0.589446128,0.078165524,0.365907345,0.098863903,0.258871593,0.102779838,0.508794254,5.400827166,93.58108108,0.210183859
Gradient Boosting Regressor,38,sa1.6,0.574027202,0.13049081,0.358049758,0.150068057,0.288813903,0.19352653,0.537414089,5.20649874,92.22972973,4.278881311
AdaBoost Regressor,38,sa1.6,0.489190269,0.150186668,0.475928779,0.062164745,0.307947276,0.093346635,0.554929974,7.15477665,93.58108108,0.199337006
XGBoost Regressor,38,sa1.6,0.585108876,0.100712925,0.360262674,0.119357971,0.268779428,0.135299896,0.518439416,5.235023109,93.24324324,1.038426399
LightGBM Regressor,38,sa1.6,0.540307674,0.161860136,0.381187721,0.089995606,0.281372698,0.1019,0.530445754,5.592699507,93.58108108,0.116000652
Linear Regression,37,I_ch,-1.237451694,1.448595275,0.612173703,0.206807023,1.62357327,1.37734106,1.274195146,8.551698776,84.12162162,0.026002169
Ridge Regression,37,I_ch,0.346090341,0.085929298,0.487538945,0.088667712,0.417058679,0.165525773,0.645800804,7.08201319,86.82432432,0.027001143
Bayesian Ridge,37,I_ch,-0.127154711,0.5078108,0.513347425,0.114677097,0.814426208,0.636090615,0.902455654,7.345016856,86.48648649,0.025001049
Lasso Regression,37,I_ch,0.354862472,0.132594299,0.517445794,0.133938924,0.434539379,0.262865878,0.659196009,7.470298249,87.5,0.024989605
Elastic Net,37,I_ch,0.368249878,0.11805837,0.498602909,0.123024786,0.419607668,0.234752613,0.647771308,7.197727861,86.82432432,0.026001692
Orthogonal Matching Pursuit,37,I_ch,0.312719089,0.160517061,0.505666157,0.131003149,0.454867075,0.263551381,0.674438341,7.274163619,86.14864865,0.014001369
k-Nearest Neighbors Regressor,37,I_ch,0.420618561,0.159967701,0.436644068,0.178443086,0.394497175,0.257721322,0.628090101,6.383124196,89.18918919,0.024999619
Decision Tree Regressor,37,I_ch,0.015501886,0.474756423,0.457740113,0.262575239,0.685423729,0.570432636,0.827903212,6.642803518,92.56756757,0.025998592
Random Forest Regressor,37,I_ch,0.582611185,0.090776151,0.371563277,0.095861928,0.264337048,0.111851218,0.514137188,5.438991447,93.58108108,0.475018263
Extra Trees Regressor,37,I_ch,0.564519502,0.087207877,0.380198305,0.101672545,0.276398232,0.116290762,0.525735895,5.598596364,92.90540541,0.221995831
Gradient Boosting Regressor,37,I_ch,0.581913791,0.124858626,0.353850077,0.145749316,0.282721526,0.183948146,0.531715644,5.155198629,92.56756757,4.00440073
AdaBoost Regressor,37,I_ch,0.492727461,0.174331479,0.475176573,0.086156312,0.312380727,0.132909836,0.558910303,7.141717004,92.56756757,0.356557369
XGBoost Regressor,37,I_ch,0.586799133,0.090529579,0.35736725,0.103684325,0.262308278,0.112609181,0.512160403,5.197532714,93.58108108,1.203246117
LightGBM Regressor,37,I_ch,0.549806136,0.132879847,0.374052609,0.092762623,0.278105592,0.100953703,0.527357177,5.474607732,92.56756757,0.160593271
Linear Regression,36,Dur_H595,-1.225726987,1.424581691,0.616990485,0.213467296,1.612024195,1.357288465,1.269655148,8.60785054,84.12162162,0.024025679
Ridge Regression,36,Dur_H595,0.346535618,0.085925983,0.487632311,0.088865416,0.416759579,0.165358933,0.64556919,7.084031506,86.82432432,0.025985479
Bayesian Ridge,36,Dur_H595,-0.125002046,0.504526813,0.511312738,0.110941299,0.808573281,0.619890161,0.899207029,7.313564924,86.82432432,0.024999619
Lasso Regression,36,Dur_H595,0.354863147,0.132594968,0.517445623,0.13393905,0.434538958,0.262866061,0.65919569,7.470295781,87.5,0.025994539
Elastic Net,36,Dur_H595,0.368249853,0.118058584,0.498602946,0.123024783,0.419607653,0.234752612,0.647771297,7.197728487,86.82432432,0.013006926
Orthogonal Matching Pursuit,36,Dur_H595,0.312719089,0.160517061,0.505666157,0.131003149,0.454867075,0.263551381,0.674438341,7.274163619,86.14864865,0.014001369
k-Nearest Neighbors Regressor,36,Dur_H595,0.435164747,0.145308741,0.429310734,0.163555465,0.380732203,0.235075109,0.61703501,6.275337838,90.2027027,0.026000023
Decision Tree Regressor,36,Dur_H595,-0.111311008,0.561909927,0.487853107,0.302905483,0.775988701,0.668318599,0.880902208,7.023541399,89.52702703,0.024676323
Random Forest Regressor,36,Dur_H595,0.560118627,0.106134433,0.382815537,0.094019264,0.276539722,0.112681972,0.525870442,5.605694981,92.90540541,0.453003883
Extra Trees Regressor,36,Dur_H595,0.572440037,0.103640923,0.369361017,0.093098653,0.265605689,0.099682714,0.515369469,5.443653475,92.56756757,0.246427059
Gradient Boosting Regressor,36,Dur_H595,0.562171612,0.123434941,0.364947958,0.145088463,0.295234463,0.187186384,0.543354822,5.312162292,92.22972973,3.888446093
AdaBoost Regressor,36,Dur_H595,0.494098132,0.150054655,0.474483974,0.060478324,0.30430454,0.090719594,0.551638052,7.144899196,93.24324324,0.188058853
XGBoost Regressor,36,Dur_H595,0.563373065,0.093859087,0.374555289,0.101837677,0.279212853,0.124380365,0.528405954,5.443533575,94.25675676,0.97145319
LightGBM Regressor,36,Dur_H595,0.54199965,0.142269828,0.380618047,0.083239263,0.280288438,0.096349205,0.52942274,5.573565683,91.89189189,0.115997314
Linear Regression,35,sa2.6,-1.100681853,1.385001078,0.602447802,0.200191516,1.484994322,1.198392186,1.218603431,8.425273582,84.7972973,0.023997784
Ridge Regression,35,sa2.6,0.33276046,0.091138196,0.491518166,0.090344023,0.425348957,0.16876404,0.652187823,7.1404554,86.82432432,0.02600193
Bayesian Ridge,35,sa2.6,-0.011195507,0.450942748,0.490051628,0.069559369,0.670033696,0.396095605,0.81855586,7.049403931,87.83783784,0.025998354
Lasso Regression,35,sa2.6,0.345232453,0.147411073,0.521078848,0.140739655,0.445126341,0.283512878,0.667177893,7.518824819,87.16216216,0.014999866
Elastic Net,35,sa2.6,0.356535262,0.125874654,0.502849849,0.12931588,0.429464677,0.247581439,0.655335545,7.25404961,86.82432432,0.013999462
Orthogonal Matching Pursuit,35,sa2.6,0.307516281,0.155420867,0.506435473,0.130295778,0.458107172,0.262032255,0.676836149,7.284229367,85.81081081,0.012998819
k-Nearest Neighbors Regressor,35,sa2.6,0.395670594,0.147904059,0.44480226,0.17110714,0.410736723,0.255220919,0.64088745,6.479649292,89.52702703,0.023998976
Decision Tree Regressor,35,sa2.6,0.118649608,0.337976604,0.420960452,0.201307641,0.575423729,0.351632627,0.758566891,6.016731017,93.58108108,0.025999069
Random Forest Regressor,35,sa2.6,0.541154148,0.108164597,0.393177401,0.101389754,0.291665924,0.130537656,0.540061037,5.748511905,92.22972973,0.420531988
Extra Trees Regressor,35,sa2.6,0.561866599,0.099734074,0.375850282,0.083721494,0.269699565,0.088192469,0.519326068,5.542155995,93.24324324,0.245002747
Gradient Boosting Regressor,35,sa2.6,0.525686435,0.154773702,0.377281973,0.145889474,0.31620484,0.202495167,0.56232094,5.491107245,91.21621622,4.0633564
AdaBoost Regressor,35,sa2.6,0.482800074,0.168063717,0.480566495,0.05470254,0.307560869,0.083998365,0.554581706,7.245420516,93.24324324,0.189062119
XGBoost Regressor,35,sa2.6,0.549842024,0.122694265,0.375015918,0.104961245,0.283539953,0.123603384,0.532484698,5.444032459,93.24324324,1.139415979
LightGBM Regressor,35,sa2.6,0.528792559,0.122624731,0.381335164,0.086034237,0.287960786,0.088975165,0.536619778,5.581239306,91.89189189,0.115512609
Linear Regression,34,Dur_UD575,-0.987808655,1.266847185,0.606731429,0.214942177,1.41268223,1.139082542,1.188563095,8.504715964,83.78378378,0.015000582
Ridge Regression,34,Dur_UD575,0.334075128,0.09031992,0.491209257,0.091145675,0.424859294,0.169293099,0.651812315,7.134865728,86.48648649,0.026000261
Bayesian Ridge,34,Dur_UD575,0.025415019,0.397978876,0.490230664,0.069078371,0.64882528,0.376349945,0.805496915,7.059541164,87.16216216,0.025999784
Lasso Regression,34,Dur_UD575,0.345232453,0.147411073,0.521078848,0.140739655,0.445126341,0.283512878,0.667177893,7.518824819,87.16216216,0.02400136
Elastic Net,34,Dur_UD575,0.356534923,0.125874746,0.502849847,0.129315881,0.429464817,0.247581355,0.655335652,7.254050694,86.82432432,0.015001535
Orthogonal Matching Pursuit,34,Dur_UD575,0.307516281,0.155420867,0.506435473,0.130295778,0.458107172,0.262032255,0.676836149,7.284229367,85.81081081,0.013000488
k-Nearest Neighbors Regressor,34,Dur_UD575,0.381511874,0.15565447,0.454214689,0.178029481,0.423322034,0.272170621,0.650632026,6.615588803,88.17567568,0.023998499
Decision Tree Regressor,34,Dur_UD575,-0.108280154,0.537080965,0.504745763,0.302414681,0.785875706,0.698092045,0.886496309,7.31780888,89.86486486,0.025999784
Random Forest Regressor,34,Dur_UD575,0.533143522,0.114680823,0.396008192,0.102441005,0.297991425,0.138228774,0.545885909,5.786357786,92.22972973,0.411227942
Extra Trees Regressor,34,Dur_UD575,0.570873609,0.09267597,0.378480791,0.089562602,0.269396356,0.105166605,0.51903406,5.581255363,92.90540541,0.20058012
Gradient Boosting Regressor,34,Dur_UD575,0.50781282,0.168235078,0.38578202,0.155584483,0.331059668,0.222672807,0.575377848,5.610231825,90.54054054,3.532426119
AdaBoost Regressor,34,Dur_UD575,0.464117653,0.176305806,0.483016995,0.059606441,0.319112888,0.091662806,0.564900777,7.314067403,92.90540541,0.177212715
XGBoost Regressor,34,Dur_UD575,0.557019794,0.087584579,0.37922232,0.104466012,0.283028399,0.125434294,0.532004134,5.526069247,92.22972973,0.992973328
LightGBM Regressor,34,Dur_UD575,0.545891879,0.148237267,0.37867882,0.090936246,0.279866404,0.106116134,0.529024011,5.550492849,92.90540541,0.104999542
Linear Regression,33,sa2.4,-0.979712876,1.601915624,0.572082854,0.132342387,1.295997483,1.070587948,1.138418852,8.10001044,84.7972973,0.024000168
Ridge Regression,33,sa2.4,0.314577233,0.097003317,0.496814777,0.092636435,0.437141614,0.174867295,0.661166858,7.216556042,86.14864865,0.025998354
Bayesian Ridge,33,sa2.4,0.037912845,0.506951101,0.491602999,0.056913922,0.601092576,0.341759517,0.775301603,7.084370454,87.5,0.025999784
Lasso Regression,33,sa2.4,0.298179676,0.165723792,0.538138256,0.152387359,0.478389192,0.31017822,0.691656845,7.752447173,85.81081081,0.024000406
Elastic Net,33,sa2.4,0.314809385,0.135864309,0.514875736,0.136629764,0.45831853,0.266800841,0.676992268,7.419724837,86.14864865,0.013998985
Orthogonal Matching Pursuit,33,sa2.4,0.280013033,0.12874689,0.509688183,0.127842551,0.475210456,0.254548716,0.689355101,7.306983784,84.7972973,0.024999142
k-Nearest Neighbors Regressor,33,sa2.4,0.336972706,0.166601279,0.463672316,0.177941492,0.449453107,0.283881545,0.67041264,6.749517375,87.83783784,0.025000572
Decision Tree Regressor,33,sa2.4,0.136989257,0.436763818,0.387909605,0.103317625,0.509152542,0.203789438,0.713549257,5.706376019,95.27027027,0.025996923
Random Forest Regressor,33,sa2.4,0.499011559,0.125873304,0.411408757,0.100602197,0.316680038,0.138531027,0.562743315,6.015011663,91.89189189,0.464554787
