Model,Remaining Features,Dropped Feature,R^2 (mean),R^2 (std),MAE (mean),MAE (std),MSE (mean),MSE (std),RMSE (mean),MAPE (mean),Accuracy (%),Training Time (s)
Ridge Regression,14,I_z,0.34158874,0.109749991,0.492953943,0.095129437,0.418586519,0.172823746,0.646982627,7.169774719,87.16216216,0.028000593
Bayesian Ridge,14,I_z,0.173464871,0.232986981,0.499435563,0.073215484,0.510912164,0.181361921,0.7147812,7.221482368,86.82432432,0.027001143
Lasso Regression,14,I_z,0.292074852,0.164557778,0.540260129,0.151958767,0.481346206,0.309168549,0.693791184,7.787206139,85.47297297,0.024998665
Elastic Net,14,I_z,0.290495491,0.125221232,0.519107916,0.1339484,0.470083997,0.255000531,0.685626719,7.478928672,85.47297297,0.0259974
Orthogonal Matching Pursuit,14,I_z,0.148266425,0.239263124,0.582770485,0.178593784,0.603213582,0.431849802,0.776668257,8.310470663,84.45945946,0.014001608
k-Nearest Neighbors Regressor,14,I_z,0.364865121,0.137378437,0.439163842,0.107223615,0.397505085,0.153369913,0.630480043,6.363148863,91.21621622,0.025999546
Decision Tree Regressor,14,I_z,0.230183396,0.271423711,0.391129944,0.130867703,0.491468927,0.273608557,0.701048448,5.737210425,94.93243243,0.024640322
Random Forest Regressor,14,I_z,0.519499132,0.116195358,0.397427684,0.093507263,0.300750356,0.121974134,0.548407108,5.793178223,92.90540541,0.45623517
Extra Trees Regressor,14,I_z,0.524748155,0.116519373,0.394532203,0.094984689,0.296557751,0.114296267,0.544571163,5.791700182,92.56756757,0.155994892
Gradient Boosting Regressor,14,I_z,0.541157214,0.095139176,0.364086086,0.0905475,0.283515145,0.093159446,0.532461403,5.322069571,92.56756757,1.748582602
AdaBoost Regressor,14,I_z,0.405896441,0.252107281,0.509090488,0.067029035,0.34565522,0.101907723,0.587924502,7.718742596,90.87837838,0.15599966
XGBoost Regressor,14,I_z,0.518927526,0.117656448,0.384950008,0.091440561,0.29907972,0.11076355,0.546881815,5.58568068,91.21621622,0.469223499
LightGBM Regressor,14,I_z,0.545458454,0.090385669,0.391446613,0.093973763,0.284259411,0.102795412,0.533159836,5.751179936,92.56756757,0.09399724
Linear Regression,13,sa2.0,0.101170991,0.357718109,0.487218351,0.037279583,0.53646233,0.215014165,0.732435888,7.040898471,87.16216216,0.014997721
Ridge Regression,13,sa2.0,0.351332745,0.125546881,0.491484461,0.097425601,0.411137428,0.17330925,0.641199991,7.158640763,86.48648649,0.0260005
Bayesian Ridge,13,sa2.0,0.243105296,0.152008659,0.492867976,0.070734137,0.464929642,0.132118509,0.681857494,7.142461433,87.5,0.024996519
Lasso Regression,13,sa2.0,0.293524942,0.170380549,0.539968644,0.153827406,0.481248462,0.313687798,0.693720738,7.78689276,85.81081081,0.01299715
Elastic Net,13,sa2.0,0.30389302,0.135515055,0.517345431,0.13633068,0.462438428,0.260732772,0.680028256,7.458276437,85.13513514,0.01300025
Orthogonal Matching Pursuit,13,sa2.0,0.148266425,0.239263124,0.582770485,0.178593784,0.603213582,0.431849802,0.776668257,8.310470663,84.45945946,0.012994289
k-Nearest Neighbors Regressor,13,sa2.0,0.339605822,0.136887224,0.447220339,0.11324163,0.417679096,0.170052401,0.646280973,6.453775204,91.21621622,0.023552179
Decision Tree Regressor,13,sa2.0,0.11802504,0.415453423,0.388248588,0.086923727,0.496271186,0.12491146,0.704465178,5.709727585,95.27027027,0.025000095
Random Forest Regressor,13,sa2.0,0.475663686,0.123418812,0.410357627,0.093051724,0.32504474,0.119393498,0.570126951,5.972098214,92.90540541,0.387037277
Extra Trees Regressor,13,sa2.0,0.46172451,0.126511148,0.412268362,0.094411302,0.333208582,0.118888365,0.577242221,6.03544616,90.87837838,0.155631304
Gradient Boosting Regressor,13,sa2.0,0.479561404,0.13675798,0.365083149,0.067553584,0.310169788,0.06693325,0.55692889,5.324266199,91.89189189,1.660906553
AdaBoost Regressor,13,sa2.0,0.391920193,0.170921839,0.494065739,0.083225544,0.367193097,0.104288496,0.605964601,7.355791545,90.2027027,0.124031067
XGBoost Regressor,13,sa2.0,0.472283804,0.128838201,0.389851073,0.09296085,0.320732739,0.091903031,0.56633271,5.672209349,92.22972973,0.388938189
LightGBM Regressor,13,sa2.0,0.479254876,0.097155857,0.414997582,0.10120991,0.326132197,0.119944872,0.571079852,6.066560486,91.21621622,0.104727268
Linear Regression,12,PGV_UD,0.168186339,0.283391918,0.488289649,0.04838272,0.49870002,0.169499815,0.706186958,7.083161183,87.83783784,0.025999308
Ridge Regression,12,PGV_UD,0.335034043,0.129934567,0.498283574,0.104711124,0.423281043,0.185447428,0.650600525,7.263979467,87.16216216,0.026000738
Bayesian Ridge,12,PGV_UD,0.263786399,0.137723327,0.498981176,0.076680002,0.45467896,0.136451574,0.674298866,7.245988794,87.16216216,0.023998022
Lasso Regression,12,PGV_UD,0.261149448,0.199249175,0.546657661,0.168211285,0.506326499,0.345597805,0.71156623,7.889211924,85.13513514,0.014999151
Elastic Net,12,PGV_UD,0.288295528,0.162517838,0.524197923,0.149674563,0.477794764,0.291685462,0.691226999,7.561288881,84.7972973,0.013999939
Orthogonal Matching Pursuit,12,PGV_UD,0.174370381,0.270083188,0.56816761,0.188335509,0.587045777,0.441546612,0.766189126,8.109554627,85.47297297,0.014001846
k-Nearest Neighbors Regressor,12,PGV_UD,0.306313801,0.156477813,0.455299435,0.116955508,0.438183051,0.177342364,0.661953964,6.575638138,89.86486486,0.025001049
Decision Tree Regressor,12,PGV_UD,0.036608714,0.365123983,0.39819209,0.091106245,0.566779661,0.159479187,0.752847701,5.770726083,92.22972973,0.023999691
Random Forest Regressor,12,PGV_UD,0.4433091,0.116714025,0.420765819,0.100236466,0.347336346,0.129997397,0.58935248,6.132282953,92.22972973,0.39801383
Extra Trees Regressor,12,PGV_UD,0.417229536,0.118270542,0.431858192,0.114577627,0.370509452,0.161584441,0.608694876,6.308980856,90.87837838,0.155990601
Gradient Boosting Regressor,12,PGV_UD,0.403398437,0.121110898,0.404021188,0.097519891,0.367565064,0.113365446,0.606271445,5.912302499,90.2027027,1.670707226
AdaBoost Regressor,12,PGV_UD,0.360423111,0.13210786,0.507031631,0.098318431,0.403882969,0.164782192,0.635517874,7.548130474,89.52702703,0.123003483
XGBoost Regressor,12,PGV_UD,0.403018653,0.089635424,0.421546523,0.107986845,0.373992532,0.130558664,0.611549288,6.146340564,88.85135135,0.406623602
LightGBM Regressor,12,PGV_UD,0.44409814,0.082053008,0.417993338,0.116602356,0.353407014,0.14275143,0.594480458,6.07675083,91.21621622,0.104001045
Linear Regression,11,Caa,0.139235088,0.262372681,0.508563751,0.045617633,0.522981778,0.173874773,0.72317479,7.404940506,87.5,0.024000168
Ridge Regression,11,Caa,0.319283616,0.136292802,0.50680851,0.111225935,0.436239646,0.202630907,0.660484403,7.392040701,86.48648649,0.025997877
Bayesian Ridge,11,Caa,0.269230039,0.127375673,0.508377852,0.082654827,0.454961339,0.151643091,0.67450822,7.405749156,86.82432432,0.025999784
Lasso Regression,11,Caa,0.249383765,0.193695267,0.551268322,0.166251567,0.51243832,0.342248782,0.715847973,7.965967381,84.7972973,0.024999142
Elastic Net,11,Caa,0.273396684,0.161209542,0.530384045,0.1468362,0.484908802,0.287649115,0.696353934,7.669892323,84.7972973,0.023888588
Orthogonal Matching Pursuit,11,Caa,0.237060161,0.27681167,0.552121923,0.194420178,0.548001984,0.449531237,0.740271561,7.914798408,85.13513514,0.013998985
k-Nearest Neighbors Regressor,11,Caa,0.28596783,0.173685811,0.467977401,0.14086196,0.46119774,0.228731889,0.67911541,6.756756757,88.85135135,0.029418707
Decision Tree Regressor,11,Caa,-0.124235064,0.342969731,0.471525424,0.217034941,0.760112994,0.509291447,0.871844593,6.607947233,88.85135135,0.026011229
Random Forest Regressor,11,Caa,0.409054124,0.148015663,0.435835876,0.131099599,0.381084363,0.196233455,0.617320308,6.315332073,89.52702703,0.433978319
Extra Trees Regressor,11,Caa,0.398897175,0.153330978,0.435227684,0.1323391,0.387125418,0.197226884,0.622194036,6.345164361,88.51351351,0.191594362
Gradient Boosting Regressor,11,Caa,0.382424634,0.106438479,0.40900094,0.107649445,0.388170306,0.142799072,0.62303315,5.913190209,91.55405405,1.58338356
AdaBoost Regressor,11,Caa,0.406834228,0.196585222,0.460522598,0.093772626,0.350538515,0.086829063,0.592062932,6.883721279,90.87837838,0.22500968
XGBoost Regressor,11,Caa,0.415201879,0.077053874,0.418511404,0.114425746,0.374755325,0.158628245,0.612172627,6.037992542,88.85135135,0.607149839
LightGBM Regressor,11,Caa,0.406564674,0.108834253,0.433927649,0.13703209,0.382562071,0.181169516,0.618516024,6.317971989,89.18918919,0.104999304
Linear Regression,10,I_a_r,0.173099985,0.221049541,0.505437733,0.046600495,0.503385752,0.152705167,0.70949683,7.368543595,87.83783784,0.024562836
Ridge Regression,10,I_a_r,0.325105687,0.128879338,0.50774665,0.111532757,0.434760274,0.206837625,0.659363537,7.404926278,86.82432432,0.025206089
Bayesian Ridge,10,I_a_r,0.270983199,0.125251354,0.5070955,0.080511447,0.453645623,0.149070882,0.673532199,7.38854964,86.82432432,0.026000023
Lasso Regression,10,I_a_r,0.256931316,0.192462363,0.550509622,0.166486884,0.509054881,0.343850291,0.713480821,7.959788291,84.7972973,0.036002398
